Date,PJME_MW
2002-01-01,714857.0
2002-01-02,822277.0
2002-01-03,828285.0
2002-01-04,809171.0
2002-01-05,729723.0
2002-01-06,727766.0
2002-01-07,800012.0
2002-01-08,824710.0
2002-01-09,810628.0
2002-01-10,755317.0
2002-01-11,742741.0
2002-01-12,683205.0
2002-01-13,673268.0
2002-01-14,758471.0
2002-01-15,749371.0
2002-01-16,768234.0
2002-01-17,765151.0
2002-01-18,769035.0
2002-01-19,766232.0
2002-01-20,707590.0
2002-01-21,778438.0
2002-01-22,756951.0
2002-01-23,755864.0
2002-01-24,734778.0
2002-01-25,724412.0
2002-01-26,673840.0
2002-01-27,639494.0
2002-01-28,707708.0
2002-01-29,696677.0
2002-01-30,685796.0
2002-01-31,729020.0
2002-02-01,711909.0
2002-02-02,687530.0
2002-02-03,686370.0
2002-02-04,781528.0
2002-02-05,838901.0
2002-02-06,791281.0
2002-02-07,773402.0
2002-02-08,739912.0
2002-02-09,665362.0
2002-02-10,642901.0
2002-02-11,740796.0
2002-02-12,789807.0
2002-02-13,767164.0
2002-02-14,796215.0
2002-02-15,759953.0
2002-02-16,644450.0
2002-02-17,645198.0
2002-02-18,742299.0
2002-02-19,747740.0
2002-02-20,712180.0
2002-02-21,685299.0
2002-02-22,697311.0
2002-02-23,662570.0
2002-02-24,648815.0
2002-02-25,718081.0
2002-02-26,703666.0
2002-02-27,753861.0
2002-02-28,786219.0
2002-03-01,756887.0
2002-03-02,683816.0
2002-03-03,615464.0
2002-03-04,774052.0
2002-03-05,817351.0
2002-03-06,747963.0
2002-03-07,702524.0
2002-03-08,680682.0
2002-03-09,605297.0
2002-03-10,618204.0
2002-03-11,748522.0
2002-03-12,739974.0
2002-03-13,727489.0
2002-03-14,690593.0
2002-03-15,665987.0
2002-03-16,596716.0
2002-03-17,647746.0
2002-03-18,743591.0
2002-03-19,719426.0
2002-03-20,742596.0
2002-03-21,711240.0
2002-03-22,786065.0
2002-03-23,696246.0
2002-03-24,628654.0
2002-03-25,706636.0
2002-03-26,740223.0
2002-03-27,714165.0
2002-03-28,707897.0
2002-03-29,636759.0
2002-03-30,578432.0
2002-03-31,551994.0
2002-04-01,660494.0
2002-04-02,687613.0
2002-04-03,681449.0
2002-04-04,704041.0
2002-04-05,718623.0
2002-04-06,666345.0
2002-04-07,609001.0
2002-04-08,693387.0
2002-04-09,681338.0
2002-04-10,665711.0
2002-04-11,672245.0
2002-04-12,673127.0
2002-04-13,600343.0
2002-04-14,580506.0
2002-04-15,707337.0
2002-04-16,795878.0
2002-04-17,869130.0
2002-04-18,873253.0
2002-04-19,810692.0
2002-04-20,653474.0
2002-04-21,579630.0
2002-04-22,677322.0
2002-04-23,685431.0
2002-04-24,685822.0
2002-04-25,692133.0
2002-04-26,671908.0
2002-04-27,593258.0
2002-04-28,583363.0
2002-04-29,664942.0
2002-04-30,678676.0
2002-05-01,669293.0
2002-05-02,692024.0
2002-05-03,660572.0
2002-05-04,592177.0
2002-05-05,566469.0
2002-05-06,669601.0
2002-05-07,711207.0
2002-05-08,712312.0
2002-05-09,682712.0
2002-05-10,684371.0
2002-05-11,589959.0
2002-05-12,584470.0
2002-05-13,715500.0
2002-05-14,670896.0
2002-05-15,672111.0
2002-05-16,690924.0
2002-05-17,712957.0
2002-05-18,602082.0
2002-05-19,573478.0
2002-05-20,665933.0
2002-05-21,678756.0
2002-05-22,679662.0
2002-05-23,683462.0
2002-05-24,708157.0
2002-05-25,616304.0
2002-05-26,584436.0
2002-05-27,626146.0
2002-05-28,750204.0
2002-05-29,783474.0
2002-05-30,807672.0
2002-05-31,849477.0
2002-06-01,771455.0
2002-06-02,694947.0
2002-06-03,723630.0
2002-06-04,753659.0
2002-06-05,872231.0
2002-06-06,866047.0
2002-06-07,710618.0
2002-06-08,630612.0
2002-06-09,644785.0
2002-06-10,842135.0
2002-06-11,916543.0
2002-06-12,949212.0
2002-06-13,789582.0
2002-06-14,709865.0
2002-06-15,627423.0
2002-06-16,615881.0
2002-06-17,743860.0
2002-06-18,758100.0
2002-06-19,772430.0
2002-06-20,804631.0
2002-06-21,815867.0
2002-06-22,774474.0
2002-06-23,798612.0
2002-06-24,979873.0
2002-06-25,1009509.0
2002-06-26,1042318.0
2002-06-27,1027375.0
2002-06-28,911246.0
2002-06-29,816514.0
2002-06-30,808428.0
